Cycle,GRF
6,549.311
6,555.117
6,560.967
6,566.827
6,572.651
6,578.387
6,583.978
6,589.361
6,594.475
6,599.256
6,603.638
6,607.559
6,610.951
6,613.752
6,615.899
6,617.332
6,617.998
6,617.856
6,616.877
6,615.050
6,612.385
6,608.915
6,604.691
6,599.783
6,594.269
6,588.224
6,581.704
6,574.728
6,567.265
6,559.216
6,550.407
6,540.588
6,529.439
6,516.593
6,501.660
6,484.270
6,464.110
6,440.978
6,414.819
6,385.761
6,354.132
6,320.466
6,285.472
6,250.002
6,214.984
6,181.353
6,149.977
6,121.582
6,96.701
6,75.631
6,58.425
6,44.903
6,34.692
0,27.275
0,22.059
0,18.442
0,15.865
0,13.865
0,12.097
0,10.348
0,8.524
0,6.633
0,4.750
0,2.982
0,1.439
0,0.210
0,-0.657
0,-1.159
0,-1.332
0,-1.242
0,-0.975
0,-0.616
0,-0.245
0,0.078
0,0.314
0,0.446
0,0.478
0,0.428
0,0.323
0,0.191
0,0.059
0,-0.052
0,-0.131
0,-0.172
0,-0.177
0,-0.154
0,-0.112
0,-0.062
0,-0.014
0,0.026
0,0.053
0,0.066
0,0.066
0,0.056
0,0.039
0,0.020
0,0.002
0,-0.012
0,-0.021
0,-0.026
0,-0.025
0,-0.021
0,-0.014
0,-0.006
0,0.001
0,0.006
0,0.010
0,0.012
0,0.012
0,0.009
0,0.006
0,0.002
0,-0.003
0,-0.007
0,-0.010
0,-0.011
0,-0.011
0,-0.009
0,-0.005
0,0.001
0,0.008
0,0.014
0,0.019
0,0.022
0,0.021
0,0.016
0,0.007
0,-0.007
0,-0.022
0,-0.038
0,-0.051
0,-0.057
0,-0.054
0,-0.039
0,-0.012
0,0.025
0,0.067
0,0.108
0,0.140
0,0.153
0,0.140
0,0.095
0,0.018
0,-0.084
0,-0.198
0,-0.307
0,-0.386
0,-0.411
0,-0.363
0,-0.228
0,-0.010
0,0.272
0,0.582
0,0.867
0,1.061
0,1.101
0,0.936
0,0.539
0,-0.079
0,-0.858
0,-1.689
0,-2.423
0,-2.887
0,-2.911
0,-2.363
0,-1.189
0,0.558
0,2.692
0,4.897
0,6.749
0,7.765
0,7.490
0,5.586
0,1.946
0,-3.223
0,-9.329
0,-15.391
0,-20.088
0,-21.887
0,-19.224
0,-10.734
0,4.518
0,26.834
7,55.766
7,90.105
7,128.006
7,167.224
7,205.430
7,240.544
7,271.014
7,295.996
7,315.395
7,329.788
7,340.249
7,348.118
7,354.771
7,361.418
7,368.964
7,377.948
7,388.545
7,400.634
7,413.892
7,427.898
7,442.229
7,456.523
7,470.513
7,484.029
7,496.981
7,509.329
7,521.058
7,532.156
7,542.601
7,552.362
7,561.401
7,569.685
7,577.198
7,583.946
7,589.962
7,595.304
7,600.051
7,604.295
7,608.125
7,611.617
7,614.821
7,617.755
7,620.397
7,622.689
7,624.546
7,625.862
7,626.531
7,626.458
7,625.573
7,623.839
7,621.259
7,617.870
7,613.741
7,608.960
7,603.626
7,597.839
7,591.694
7,585.273
7,578.646
7,571.871
7,564.994
7,558.055
7,551.087
7,544.123
7,537.193
7,530.328
7,523.555
7,516.899
7,510.383
7,504.025
